"","week","AQHI","stationName"
"261",2022-01-09,1.63615752853365,"Burnaby Kensington Park"
"262",2022-01-16,1.24041936724198,"Burnaby Kensington Park"
"263",2022-01-23,1.92750984373122,"Burnaby Kensington Park"
"264",2022-01-30,1.94220914045639,"Burnaby Kensington Park"
"265",2022-02-06,1.74539127825577,"Burnaby Kensington Park"
"266",2022-02-13,1.66050857291867,"Burnaby Kensington Park"
"267",2022-02-20,2.36512582602568,"Burnaby Kensington Park"
"268",2022-02-27,1.85670447446423,"Burnaby Kensington Park"
"269",2022-03-06,2.09076639408081,"Burnaby Kensington Park"
"270",2022-03-13,2.10972719626111,"Burnaby Kensington Park"
"271",2022-03-20,1.81603681695754,"Burnaby Kensington Park"
"272",2022-03-27,1.88320451214026,"Burnaby Kensington Park"
"273",2022-04-03,2.3457043689701,"Burnaby Kensington Park"
"274",2022-04-10,2.39030039143782,"Burnaby Kensington Park"
"275",2022-04-17,2.32132452796892,"Burnaby Kensington Park"
"276",2022-04-24,2.20006643654813,"Burnaby Kensington Park"
"277",2022-05-01,2.11978452842798,"Burnaby Kensington Park"
"278",2022-05-08,1.94933990919065,"Burnaby Kensington Park"
"279",2022-05-15,2.07541154281279,"Burnaby Kensington Park"
"280",2022-05-22,2.0046156859616,"Burnaby Kensington Park"
"281",2022-05-29,1.87061566347021,"Burnaby Kensington Park"
"282",2022-06-05,1.70724992194686,"Burnaby Kensington Park"
"283",2022-06-12,1.69745783322672,"Burnaby Kensington Park"
"284",2022-06-19,1.64374015732515,"Burnaby Kensington Park"
"285",2022-06-26,2.04391201033878,"Burnaby Kensington Park"
"286",2022-07-03,1.53763696235545,"Burnaby Kensington Park"
"287",2022-07-10,1.70222568245965,"Burnaby Kensington Park"
"288",2022-07-17,1.60831091511552,"Burnaby Kensington Park"
"289",2022-07-24,2.42800110289373,"Burnaby Kensington Park"
"290",2022-07-31,1.56690691689994,"Burnaby Kensington Park"
"291",2022-08-07,2.03931708883934,"Burnaby Kensington Park"
"292",2022-08-14,2.35386975565822,"Burnaby Kensington Park"
"293",2022-08-21,2.02647150831697,"Burnaby Kensington Park"
"294",2022-08-28,2.19704999495209,"Burnaby Kensington Park"
"295",2022-09-04,1.86820839361623,"Burnaby Kensington Park"
"296",2022-09-11,2.83825001908026,"Burnaby Kensington Park"
"297",2022-09-18,1.91193251328565,"Burnaby Kensington Park"
"298",2022-09-25,2.35258164195981,"Burnaby Kensington Park"
"299",2022-10-02,2.85331544979195,"Burnaby Kensington Park"
"300",2022-10-09,2.33118192189502,"Burnaby Kensington Park"
"301",2022-10-16,3.38041932322636,"Burnaby Kensington Park"
"302",2022-10-23,1.7549606472563,"Burnaby Kensington Park"
"303",2022-10-30,1.81135030688105,"Burnaby Kensington Park"
"305",2017-01-01,2.67902823219823,"Burnaby South"
"306",2017-01-08,3.18513989680177,"Burnaby South"
"307",2017-01-15,2.57296107511478,"Burnaby South"
"308",2017-01-22,2.4044310055321,"Burnaby South"
"309",2017-01-29,2.52869389463652,"Burnaby South"
"310",2017-02-05,2.86672472381019,"Burnaby South"
"311",2017-02-12,2.58086023124097,"Burnaby South"
"312",2017-02-19,2.36499450761589,"Burnaby South"
"313",2017-02-26,2.64694216279044,"Burnaby South"
"314",2017-03-05,2.63066808645104,"Burnaby South"
"315",2017-03-12,2.40318700017154,"Burnaby South"
"316",2017-03-19,2.57514481279936,"Burnaby South"
"317",2017-03-26,2.44461667419479,"Burnaby South"
"318",2017-04-02,2.52138230200809,"Burnaby South"
"319",2017-04-09,2.47205932851609,"Burnaby South"
"320",2017-04-16,2.47872117843848,"Burnaby South"
"321",2017-04-23,2.23326637323808,"Burnaby South"
"322",2017-04-30,2.12709405506968,"Burnaby South"
"323",2017-05-07,2.34559212350164,"Burnaby South"
"324",2017-05-14,2.31687054587921,"Burnaby South"
"325",2017-05-21,2.4877406708046,"Burnaby South"
"326",2017-05-28,2.38226889031993,"Burnaby South"
"327",2017-06-04,2.4889458361889,"Burnaby South"
"328",2017-06-11,1.95910115809249,"Burnaby South"
"329",2017-06-18,1.6816700864117,"Burnaby South"
"330",2017-07-02,2.59887782851413,"Burnaby South"
"331",2017-07-09,1.94307480742392,"Burnaby South"
"332",2017-07-16,1.82660310591719,"Burnaby South"
"333",2017-07-23,1.67821291508895,"Burnaby South"
"334",2017-07-30,3.27483042740558,"Burnaby South"
"335",2017-08-06,3.98202351691577,"Burnaby South"
"336",2017-08-13,1.74943056175555,"Burnaby South"
"337",2017-08-20,2.19569875243697,"Burnaby South"
"338",2017-08-27,2.29305163281237,"Burnaby South"
"339",2017-09-03,2.88929187919349,"Burnaby South"
"340",2017-09-10,2.1052852106066,"Burnaby South"
"341",2017-09-17,2.06340717992926,"Burnaby South"
"342",2017-09-24,2.10236249050729,"Burnaby South"
"343",2017-10-01,2.08397394459631,"Burnaby South"
"344",2017-10-08,1.72997292475257,"Burnaby South"
"345",2017-10-15,2.21032455527877,"Burnaby South"
"346",2017-10-22,2.12554252455186,"Burnaby South"
"347",2017-10-29,2.31733313683116,"Burnaby South"
"348",2017-11-05,2.40072846579614,"Burnaby South"
"349",2017-11-12,2.08453589026205,"Burnaby South"
"350",2017-11-19,2.03391643467332,"Burnaby South"
"351",2017-11-26,2.27841637423546,"Burnaby South"
"352",2017-12-03,2.41988014112204,"Burnaby South"
"353",2017-12-10,2.58932394130459,"Burnaby South"
"354",2017-12-17,2.37828408876354,"Burnaby South"
"355",2017-12-24,2.35722850124261,"Burnaby South"
"356",2017-12-31,2.46469181938594,"Burnaby South"
"357",2018-01-07,2.28159204791683,"Burnaby South"
"358",2018-01-14,2.12825978275221,"Burnaby South"
"359",2018-01-21,2.18584947129432,"Burnaby South"
"360",2018-01-28,2.15194512185676,"Burnaby South"
"361",2018-02-04,1.89648941460015,"Burnaby South"
"362",2018-02-11,2.31101088860283,"Burnaby South"
"363",2018-02-18,2.46100679263586,"Burnaby South"
"364",2018-02-25,2.44949279398626,"Burnaby South"
"365",2018-03-04,2.48719224686826,"Burnaby South"
"366",2018-03-11,2.539788412696,"Burnaby South"
"367",2018-03-18,2.46853879273488,"Burnaby South"
"368",2018-03-25,2.16095665621131,"Burnaby South"
"369",2018-04-01,2.24525377333742,"Burnaby South"
"370",2018-04-08,2.31466879935532,"Burnaby South"
"371",2018-04-15,2.3427350966384,"Burnaby South"
"372",2018-04-22,2.45541081177794,"Burnaby South"
"373",2018-04-29,2.24666600981624,"Burnaby South"
"374",2018-05-06,2.3331093312072,"Burnaby South"
"375",2018-05-13,2.34548610962256,"Burnaby South"
"376",2018-05-20,2.29745157374134,"Burnaby South"
"377",2018-05-27,2.1674106266321,"Burnaby South"
"378",2018-06-03,2.29768088360785,"Burnaby South"
"379",2018-06-10,1.8378851834842,"Burnaby South"
"380",2018-06-17,2.1353489875093,"Burnaby South"
"381",2018-06-24,1.87408922726765,"Burnaby South"
"382",2018-07-01,1.83693758026071,"Burnaby South"
"383",2018-07-08,1.71681629581697,"Burnaby South"
"384",2018-07-15,1.89028116979645,"Burnaby South"
"385",2018-07-22,2.64531568906347,"Burnaby South"
"386",2018-07-29,2.34297585708175,"Burnaby South"
"387",2018-08-05,2.56190129841862,"Burnaby South"
"388",2018-08-12,3.10521179307722,"Burnaby South"
"389",2018-08-19,4.88091646324489,"Burnaby South"
"390",2018-08-26,2.02202816961864,"Burnaby South"
"391",2018-09-02,2.43631554127519,"Burnaby South"
"392",2018-09-09,1.67310642448118,"Burnaby South"
"393",2018-09-16,1.69409280406807,"Burnaby South"
"394",2018-09-23,1.68954646610646,"Burnaby South"
"395",2018-09-30,1.81148177673902,"Burnaby South"
"396",2018-10-07,1.76535066202193,"Burnaby South"
"397",2018-10-14,2.70557502858127,"Burnaby South"
"398",2018-10-21,2.29859126458617,"Burnaby South"
"399",2018-10-28,2.06910147407007,"Burnaby South"
"400",2018-11-04,1.96707711976508,"Burnaby South"
"401",2018-11-11,2.06988449941292,"Burnaby South"
"402",2018-11-18,2.27042487104712,"Burnaby South"
"403",2018-11-25,1.96424904368399,"Burnaby South"
"404",2018-12-02,2.32691401319866,"Burnaby South"
"405",2018-12-09,2.17919428249847,"Burnaby South"
"406",2018-12-16,2.28833808986958,"Burnaby South"
"407",2018-12-23,1.91824833358704,"Burnaby South"
"408",2018-12-30,2.2598437635663,"Burnaby South"
"409",2019-01-06,2.22361585356142,"Burnaby South"
"410",2019-01-13,2.55269065352946,"Burnaby South"
"411",2019-01-20,2.04448169214445,"Burnaby South"
"412",2019-01-27,2.51094810179911,"Burnaby South"
"413",2019-02-03,2.76978148035374,"Burnaby South"
"414",2019-02-10,2.8583312116914,"Burnaby South"
"415",2019-02-17,2.40965174086363,"Burnaby South"
"416",2019-02-24,2.66491128137881,"Burnaby South"
"417",2019-03-03,2.93566619997135,"Burnaby South"
"418",2019-03-10,2.48192665598623,"Burnaby South"
"419",2019-03-17,2.79707141688701,"Burnaby South"
"420",2019-03-24,2.52730664476883,"Burnaby South"
"421",2019-03-31,2.66921477468831,"Burnaby South"
"422",2019-04-07,2.39649543332195,"Burnaby South"
"423",2019-04-14,2.25747176048078,"Burnaby South"
"424",2019-04-21,2.36569428953886,"Burnaby South"
"425",2019-04-28,2.42124231176112,"Burnaby South"
"426",2019-05-05,2.30397077655538,"Burnaby South"
"427",2019-05-12,2.19601875293072,"Burnaby South"
"428",2019-05-19,2.15939900034851,"Burnaby South"
"429",2019-05-26,2.37956073734235,"Burnaby South"
"430",2019-06-02,2.07812648532397,"Burnaby South"
"431",2019-06-09,2.13324282020455,"Burnaby South"
"432",2019-06-16,1.68403554816859,"Burnaby South"
"433",2019-06-23,1.93395438410729,"Burnaby South"
"434",2019-06-30,1.80348253979748,"Burnaby South"
"435",2019-07-07,1.7029563243843,"Burnaby South"
"436",2019-07-14,1.60409492611277,"Burnaby South"
"437",2019-07-21,1.81933865996249,"Burnaby South"
"438",2019-07-28,1.94703709027024,"Burnaby South"
"439",2019-08-04,2.18807518166443,"Burnaby South"
"440",2019-08-11,1.91632998622931,"Burnaby South"
"441",2019-08-18,1.97430861166218,"Burnaby South"
"442",2019-08-25,2.13379500301261,"Burnaby South"
"443",2019-09-01,1.95502754623948,"Burnaby South"
"444",2019-09-08,1.71868269471467,"Burnaby South"
"445",2019-09-15,1.56397147521412,"Burnaby South"
"446",2019-09-22,1.63138651653882,"Burnaby South"
"447",2019-09-29,1.92959638948806,"Burnaby South"
"448",2019-10-06,2.14356256462227,"Burnaby South"
"449",2019-10-13,2.02451887131728,"Burnaby South"
"450",2019-10-20,1.8113614537375,"Burnaby South"
"451",2019-10-27,2.39843318412411,"Burnaby South"
