date,speed
"Feb 18, 2017",7:34/km
"Dec 22, 2018",7:34/km
"Aug 26, 2021",7:34/km
"Jun 5, 2022",7:34/km
"Jul 17, 2022",7:34/km
"Oct 10, 2022",7:34/km
"Mar 8, 2014",7:35/km
"May 17, 2015",7:35/km
"Dec 16, 2015",7:35/km
"Jul 4, 2018",7:35/km
"Apr 27, 2016",7:36/km
"Apr 1, 2017",7:36/km
"May 27, 2017",7:36/km
"Apr 6, 2019",7:36/km
"Jun 12, 2020",7:36/km
"Nov 12, 2021",7:36/km
"Aug 5, 2016",7:37/km
"Jan 26, 2019",7:37/km
"Nov 8, 2020",7:37/km
"Feb 6, 2021",7:37/km
"Sep 21, 2021",7:37/km
"Sep 11, 2018",7:37/km
"Jan 12, 2019",7:37/km
"Jul 27, 2019",7:37/km
"Feb 15, 2020",7:37/km
"Feb 6, 2021",7:37/km
"May 11, 2021",7:37/km
"Jun 11, 2021",7:37/km
"Apr 27, 2022",7:37/km
"Sep 24, 2016",7:39/km
"Dec 9, 2019",7:39/km
"Jul 19, 2020",7:39/km
"Mar 14, 2021",7:39/km
"Mar 17, 2021",7:39/km
"Jul 29, 2021",7:39/km
"Mar 7, 2015",7:40/km
"Aug 27, 2017",7:40/km
"May 22, 2018",7:40/km
"Sep 27, 2020",7:40/km
"Dec 7, 2020",7:40/km
"Mar 3, 2021",7:40/km
"Aug 21, 2021",7:40/km
"Jan 19, 2022",7:40/km
"Sep 25, 2022",7:40/km
"Apr 18, 2016",7:41/km
"Jul 2, 2017",7:41/km
"May 4, 2019",7:41/km
"Jun 15, 2019",7:41/km
"Jul 11, 2020",7:41/km
"Oct 24, 2020",7:41/km
"Oct 25, 2020",7:41/km
"Nov 21, 2021",7:41/km
"Jan 22, 2022",7:41/km
"Jun 28, 2014",7:42/km
"Aug 6, 2016",7:42/km
"Feb 3, 2018",7:42/km
"Jun 10, 2018",7:42/km
"Aug 26, 2020",7:42/km
"Sep 1, 2015",7:42/km
"Dec 18, 2018",7:42/km
"May 22, 2016",7:43/km
"May 31, 2017",7:43/km
"Jan 24, 2018",7:43/km
"May 5, 2019",7:43/km
"May 12, 2019",7:43/km
"Sep 6, 2022",7:43/km
"Sep 7, 2014",7:44/km
"Apr 15, 2018",7:44/km
"Sep 5, 2020",7:44/km
"Nov 13, 2021",7:44/km
"Dec 8, 2021",7:44/km
"Oct 27, 2022",7:44/km
"Aug 7, 2014",7:45/km
"Apr 12, 2015",7:45/km
"Jul 23, 2016",7:45/km
"May 25, 2016",7:45/km
"May 10, 2017",7:45/km
"Jan 26, 2019",7:45/km
"Feb 15, 2020",7:45/km
"Feb 15, 2020",7:45/km
"Sep 9, 2020",7:45/km
"Oct 16, 2020",7:45/km
"Jan 30, 2021",7:45/km
"Feb 28, 2015",7:46/km
"Oct 7, 2018",7:46/km
"Aug 2, 2020",7:46/km
"Feb 21, 2022",7:46/km
"Jul 23, 2022",7:46/km
"Mar 7, 2015",7:47/km
"Feb 9, 2016",7:47/km
"Jun 24, 2018",7:47/km
"Dec 15, 2018",7:47/km
"Feb 16, 2022",7:47/km
"Aug 2, 2013",7:47/km
"Jan 25, 2014",7:47/km
"Oct 19, 2014",7:47/km
"Feb 22, 2015",7:47/km
"Apr 5, 2020",7:47/km
"Nov 8, 2020",7:47/km
"Mar 3, 2021",7:47/km
"May 11, 2021",7:47/km
"Nov 13, 2021",7:47/km
"May 11, 2014",7:48/km
"Sep 19, 2016",7:48/km
"Feb 26, 2017",7:48/km
"Jul 31, 2020",7:48/km
"Jun 13, 2021",7:48/km
"Jun 13, 2022",7:48/km
"Jul 23, 2022",7:48/km
"Oct 15, 2022",7:48/km
"Mar 10, 2012",7:49/km
"Aug 27, 2016",7:49/km
"Dec 30, 2012",7:49/km
"Jan 19, 2019",7:49/km
"Apr 25, 2021",7:49/km
"Nov 16, 2021",7:49/km
"May 4, 2013",7:50/km
"May 2, 2019",7:50/km
"May 2, 2019",7:50/km
"May 23, 2019",7:50/km
"Jul 16, 2019",7:50/km
"Jul 11, 2020",7:50/km
"Jan 15, 2021",7:50/km
"May 13, 2021",7:50/km
"May 26, 2013",7:51/km
"Jul 17, 2017",7:51/km
"Nov 21, 2017",7:51/km
"Mar 13, 2020",7:51/km
"Jun 14, 2022",7:51/km
"Feb 25, 2017",7:52/km
"Apr 14, 2020",7:52/km
"Jun 13, 2020",7:52/km
"Jun 16, 2021",7:52/km
"Jul 14, 2021",7:52/km
"Sep 12, 2021",7:52/km
"Feb 20, 2022",7:52/km
"Jun 26, 2022",7:52/km
"May 1, 2021",7:52/km
"Nov 6, 2021",7:52/km
"Apr 3, 2022",7:52/km
"May 10, 2014",7:53/km
"Apr 22, 2016",7:53/km
"Dec 4, 2016",7:53/km
"Oct 11, 2020",7:53/km
"Dec 5, 2020",7:53/km
"Aug 31, 2021",7:53/km
"Mar 5, 2016",7:54/km
"Aug 20, 2016",7:54/km
"May 31, 2017",7:54/km
"Feb 19, 2022",7:54/km
"Oct 1, 2022",7:54/km
"May 25, 2015",7:55/km
"Jun 27, 2018",7:55/km
"Aug 4, 2018",7:55/km
"Mar 28, 2022",7:55/km
"Apr 9, 2022",7:55/km
"Nov 23, 2013",7:56/km
"Jan 29, 2014",7:56/km
"Apr 18, 2014",7:56/km
"Jun 10, 2017",7:56/km
"Jul 2, 2017",7:56/km
"Oct 27, 2019",7:56/km
"Aug 8, 2020",7:56/km
"Jan 24, 2021",7:56/km
"Jan 30, 2016",7:57/km
"Jun 15, 2019",7:57/km
"Mar 29, 2020",7:57/km
"Aug 8, 2020",7:57/km
"Sep 8, 2021",7:57/km
"Apr 13, 2017",7:57/km
"Apr 22, 2018",7:57/km
"Jun 15, 2019",7:57/km
"Jul 25, 2020",7:57/km
"Dec 20, 2014",7:57/km
"Oct 27, 2019",7:58/km
"Oct 11, 2020",7:58/km
"Jan 21, 2021",7:58/km
"Apr 10, 2021",7:58/km
"Oct 12, 2021",7:58/km
"Jun 15, 2019",7:59/km
"Sep 1, 2019",7:59/km
"Sep 12, 2020",7:59/km
"Feb 7, 2021",7:59/km
"Mar 5, 2016",8:00/km
"Mar 12, 2016",8:00/km
"Jan 20, 2017",8:00/km
"Apr 10, 2017",8:00/km
"Oct 15, 2017",8:00/km
"Jul 31, 2018",8:00/km
"Jun 15, 2019",8:00/km
"Mar 20, 2021",8:00/km
"Apr 28, 2021",8:00/km
"Nov 27, 2021",8:00/km
"Apr 16, 2022",8:00/km
"Apr 16, 2022",8:00/km
"Jun 24, 2018",8:01/km
"Jul 16, 2019",8:01/km
"Jun 3, 2021",8:01/km
"Aug 28, 2021",8:01/km
"Nov 17, 2013",8:02/km
"Aug 27, 2018",8:02/km
"Jan 19, 2019",8:02/km
"May 10, 2021",8:02/km
"Nov 13, 2021",8:02/km
"Jun 5, 2022",8:02/km
"Mar 5, 2016",8:03/km
"Feb 25, 2017",8:03/km
"Jun 9, 2018",8:03/km
"Nov 11, 2018",8:03/km
"Feb 10, 2019",8:03/km
"Oct 3, 2021",8:03/km
"Mar 30, 2022",8:03/km
"May 6, 2017",8:03/km
"May 10, 2017",8:03/km
"Jun 15, 2019",8:03/km
"Feb 10, 2020",8:03/km
"Mar 13, 2021",8:03/km
"May 16, 2021",8:03/km
"Jun 26, 2021",8:03/km
"Jul 23, 2022",8:03/km
"Oct 1, 2022",8:03/km
"Apr 4, 2013",8:04/km
"Jun 29, 2014",8:04/km
"Mar 7, 2015",8:04/km
"Feb 28, 2016",8:04/km
"Jun 11, 2020",8:04/km
"Apr 3, 2017",8:04/km
"Apr 10, 2021",8:04/km
"Mar 20, 2022",8:04/km
"Mar 26, 2022",8:04/km
"Jul 23, 2022",8:04/km
"Aug 20, 2022",8:04/km
"Feb 14, 2018",8:05/km
"Mar 10, 2018",8:05/km
"Mar 18, 2018",8:05/km
"Jun 1, 2018",8:05/km
"Jun 15, 2019",8:05/km
"May 16, 2020",8:05/km
"Nov 14, 2020",8:05/km
"Jun 25, 2021",8:05/km
"Sep 7, 2022",8:05/km
"May 31, 2012",8:06/km
"May 15, 2015",8:06/km
"Feb 15, 2020",8:06/km
"Mar 13, 2021",8:06/km
"Dec 5, 2021",8:06/km
"Jun 29, 2022",8:06/km
"May 3, 2014",8:07/km
"Jun 9, 2019",8:07/km
"Oct 12, 2020",8:07/km
"Sep 4, 2021",8:07/km
"Jun 19, 2022",8:07/km
"Mar 5, 2016",8:08/km
"Feb 2, 2019",8:08/km
"Jan 3, 2016",8:08/km
"Jun 7, 2020",8:08/km
"Aug 5, 2021",8:08/km
"Nov 9, 2014",8:09/km
"Oct 12, 2017",8:09/km
"Mar 10, 2018",8:09/km
"Aug 22, 2020",8:09/km
"Feb 4, 2015",8:10/km
"Jan 16, 2016",8:10/km
"Dec 26, 2017",8:10/km
"Oct 15, 2022",8:10/km
"Mar 9, 2013",8:11/km
"Mar 7, 2015",8:11/km
"May 7, 2017",8:11/km
"Jun 24, 2019",8:11/km
"Aug 31, 2019",8:11/km
"Jun 13, 2020",8:11/km
"Oct 26, 2020",8:11/km
"Feb 9, 2022",8:11/km
"Sep 17, 2022",8:11/km
"Oct 15, 2022",8:11/km
"Nov 22, 2015",8:12/km
"Oct 25, 2020",8:12/km
"Apr 4, 2021",8:12/km
"May 8, 2021",8:12/km
"Feb 9, 2013",8:13/km
"Mar 25, 2017",8:13/km
"Mar 3, 2018",8:13/km
"Jan 23, 2020",8:13/km
"Mar 6, 2021",8:13/km
"Apr 28, 2022",8:13/km
"Sep 21, 2022",8:13/km
"Oct 1, 2022",8:13/km
"Oct 18, 2015",8:13/km
"Mar 10, 2018",8:13/km
"Jun 6, 2020",8:13/km
"Feb 27, 2021",8:13/km
"Mar 20, 2022",8:13/km
"Aug 14, 2022",8:13/km
"Nov 1, 2022",8:13/km
"Mar 8, 2014",8:14/km
"Jun 3, 2016",8:14/km
"Mar 8, 2020",8:14/km
"Apr 10, 2021",8:14/km
"Apr 1, 2017",8:15/km
"Mar 30, 2018",8:15/km
"May 5, 2019",8:15/km
"Jan 3, 2021",8:15/km
"Apr 21, 2013",8:15/km
"Dec 26, 2015",8:16/km
"Mar 5, 2016",8:16/km
"Oct 22, 2017",8:16/km
"Jun 3, 2018",8:16/km
"Jan 26, 2013",8:16/km
"Apr 2, 2021",8:16/km
"Apr 4, 2021",8:16/km
"Jun 12, 2021",8:16/km
"Jul 23, 2022",8:16/km
"Sep 7, 2022",8:16/km
"May 9, 2017",8:17/km
"May 26, 2018",8:17/km
"Aug 2, 2019",8:17/km
"Sep 28, 2019",8:17/km
"May 18, 2021",8:17/km
"Nov 27, 2021",8:17/km
"Feb 13, 2022",8:17/km
"Jun 17, 2010",8:18/km
"Apr 4, 2016",8:18/km
"Apr 29, 2017",8:18/km
"Mar 23, 2018",8:18/km
"Nov 13, 2021",8:18/km
"Feb 23, 2022",8:18/km
"Jan 26, 2013",8:18/km
"May 21, 2017",8:18/km
"Dec 28, 2017",8:18/km
"Jan 15, 2018",8:18/km
"Oct 4, 2020",8:18/km
"Dec 21, 2021",8:18/km
"Feb 18, 2016",8:19/km
"May 26, 2016",8:19/km
"Nov 24, 2018",8:19/km
"Dec 13, 2020",8:19/km
"Dec 16, 2020",8:19/km
"Jun 21, 2022",8:19/km
"Feb 25, 2017",8:20/km
"Feb 21, 2018",8:20/km
"Nov 10, 2018",8:20/km
"Jan 19, 2019",8:20/km
"Jan 26, 2020",8:20/km
"Nov 14, 2020",8:20/km
"Mar 5, 2022",8:20/km
"Apr 2, 2022",8:20/km
"Jul 24, 2012",8:21/km
"Mar 9, 2013",8:21/km
"Feb 15, 2015",8:21/km
"Jun 24, 2015",8:21/km
"Jun 21, 2020",8:21/km
"Apr 10, 2021",8:21/km
"Jul 18, 2021",8:21/km
"Dec 16, 2021",8:21/km
"May 25, 2022",8:21/km
"Feb 9, 2013",8:22/km
"Mar 5, 2016",8:22/km
"Nov 27, 2010",8:22/km
"May 31, 2018",8:22/km
"Jan 19, 2019",8:22/km
"Nov 28, 2020",8:22/km
"Feb 15, 2015",8:23/km
"Oct 21, 2016",8:23/km
"Aug 14, 2022",8:23/km
"Jan 30, 2016",8:23/km
"Jun 20, 2020",8:23/km
"Feb 12, 2021",8:23/km
"Apr 13, 2021",8:23/km
"Jul 13, 2022",8:23/km
"Jan 31, 2015",8:24/km
"Nov 24, 2018",8:24/km
"Jan 19, 2019",8:24/km
"Sep 1, 2020",8:24/km
"Jan 17, 2021",8:24/km
"Jun 14, 2021",8:24/km
"Jan 15, 2022",8:24/km
"Jan 28, 2022",8:24/km
"Mar 1, 2014",8:25/km
"Jan 25, 2015",8:25/km
"Mar 10, 2018",8:25/km
"Dec 3, 2019",8:25/km
"Jan 31, 2021",8:25/km
"Feb 13, 2021",8:25/km
"Sep 16, 2021",8:25/km
"Feb 7, 2015",8:26/km
"Aug 7, 2015",8:26/km
"Nov 27, 2015",8:26/km
"Nov 18, 2018",8:26/km
"Jun 11, 2020",8:26/km
"Oct 21, 2020",8:26/km
"Nov 28, 2020",8:26/km
"Jan 17, 2021",8:26/km
"Mar 29, 2014",8:27/km
"Apr 28, 2015",8:27/km
"Jul 23, 2016",8:27/km
"Jul 23, 2016",8:27/km
"Jun 29, 2019",8:27/km
"Jan 18, 2021",8:27/km
"Jan 22, 2022",8:27/km
"Jul 23, 2022",8:27/km
"Nov 7, 2014",8:28/km
"Mar 5, 2016",8:28/km
"Apr 23, 2016",8:28/km
"Jun 16, 2019",8:28/km
"Jul 14, 2020",8:28/km
"Jul 13, 2022",8:28/km
"Jul 23, 2022",8:28/km
"Aug 23, 2017",8:28/km
"Aug 12, 2018",8:28/km
"Jun 6, 2022",8:28/km
"Jan 5, 2014",8:29/km
"Mar 5, 2016",8:29/km
"Aug 20, 2016",8:29/km
"Jan 13, 2018",8:29/km
"Aug 12, 2021",8:29/km
"Jan 27, 2022",8:29/km
"Apr 10, 2022",8:29/km
"Jul 23, 2022",8:29/km
"Sep 21, 2022",8:29/km
"Jan 25, 2015",8:30/km
"Sep 1, 2016",8:30/km
"Oct 13, 2018",8:30/km
"Feb 8, 2020",8:30/km
"Mar 7, 2020",8:30/km
"Mar 16, 2021",8:30/km
"Feb 7, 2015",8:31/km
"Apr 4, 2017",8:32/km
"Feb 4, 2018",8:32/km
"Jun 28, 2019",8:32/km
"Sep 12, 2020",8:32/km
"Oct 6, 2020",8:32/km
"Nov 7, 2020",8:32/km
"Jan 13, 2021",8:32/km
"Apr 10, 2021",8:32/km
"Apr 11, 2021",8:32/km
"May 4, 2021",8:32/km
"Aug 8, 2021",8:32/km
"Mar 12, 2022",8:32/km
"Oct 20, 2012",8:33/km
"Jul 28, 2018",8:33/km
"Jan 19, 2019",8:33/km
"Apr 6, 2019",8:33/km
"Jun 15, 2019",8:33/km
"Sep 6, 2019",8:33/km
"Mar 28, 2020",8:33/km
"Nov 14, 2020",8:33/km
"Apr 13, 2021",8:33/km
"Oct 16, 2021",8:33/km
"Jan 22, 2022",8:33/km
"Feb 19, 2022",8:33/km
"Jun 20, 2014",8:33/km
"Mar 5, 2016",8:33/km
"Feb 8, 2016",8:33/km
"Jul 20, 2019",8:33/km
"Sep 25, 2019",8:33/km
"Nov 28, 2020",8:33/km
"Jun 5, 2021",8:33/km
"Apr 27, 2013",8:34/km
"Nov 26, 2013",8:34/km
"Mar 11, 2017",8:34/km
"Oct 7, 2017",8:34/km
"Aug 28, 2021",8:34/km
"Jan 23, 2022",8:34/km
"Aug 4, 2022",8:34/km
"Jun 24, 2018",8:35/km
"Jan 18, 2019",8:35/km
"Mar 8, 2020",8:35/km
"Apr 13, 2013",8:36/km
"Mar 7, 2015",8:36/km
"Mar 5, 2016",8:36/km
"May 8, 2016",8:36/km
"May 26, 2019",8:36/km
"Sep 29, 2020",8:36/km
"Mar 16, 2021",8:36/km
"Feb 26, 2022",8:36/km
"Apr 10, 2013",8:37/km
"Nov 29, 2014",8:37/km
"Nov 26, 2016",8:37/km
"Nov 24, 2018",8:37/km
"Mar 10, 2019",8:37/km
"May 15, 2019",8:37/km
"Feb 22, 2014",8:38/km
"Jun 26, 2016",8:38/km
"Jul 15, 2017",8:38/km
"Apr 3, 2022",8:38/km
"Jun 5, 2022",8:38/km
"Oct 9, 2022",8:38/km
"Feb 8, 2014",8:38/km
"Feb 15, 2015",8:38/km
"Apr 10, 2016",8:38/km
"Feb 10, 2018",8:38/km
"Nov 24, 2018",8:38/km
"Aug 24, 2019",8:38/km
"Jun 9, 2020",8:38/km
"Sep 26, 2015",8:39/km
"Mar 5, 2016",8:39/km
"Aug 27, 2016",8:39/km
"Apr 9, 2018",8:39/km
"Nov 24, 2018",8:39/km
"Mar 31, 2020",8:39/km
"Jan 16, 2022",8:39/km
"Oct 1, 2022",8:39/km
"Nov 5, 2016",8:40/km
"Jul 22, 2017",8:40/km
"Jun 30, 2018",8:40/km
"Jul 18, 2018",8:40/km
"May 26, 2019",8:40/km
"Aug 1, 2020",8:40/km
"Sep 5, 2021",8:40/km
"Jun 5, 2022",8:40/km
"Feb 8, 2014",8:41/km
"Jun 8, 2014",8:41/km
"Oct 10, 2015",8:41/km
"Mar 28, 2021",8:41/km
"Aug 14, 2016",8:42/km
"Feb 6, 2019",8:42/km
"Sep 30, 2017",8:43/km
"Apr 14, 2018",8:43/km
"Aug 21, 2018",8:43/km
"Mar 9, 2019",8:43/km
"Mar 29, 2020",8:43/km
"May 30, 2020",8:43/km
"Nov 13, 2021",8:43/km
"Feb 19, 2022",8:43/km
"Jun 4, 2022",8:43/km
"Sep 7, 2022",8:43/km
"Apr 7, 2020",8:43/km
"Jul 4, 2020",8:43/km
"Feb 19, 2022",8:43/km
"Jan 15, 2019",8:43/km
"Apr 13, 2013",8:44/km
"May 29, 2019",8:44/km
"Jun 2, 2020",8:44/km
"Aug 3, 2020",8:44/km
"Jul 3, 2021",8:44/km
"Nov 13, 2021",8:44/km
"Dec 21, 2014",8:45/km
"Oct 10, 2015",8:45/km
"May 29, 2018",8:45/km
"Jun 15, 2019",8:45/km
"Jun 15, 2019",8:45/km
"Mar 2, 2020",8:45/km
"Mar 7, 2020",8:45/km
"Apr 3, 2020",8:45/km
"Aug 18, 2020",8:45/km
"May 1, 2021",8:45/km
"Jun 11, 2021",8:45/km
"Sep 15, 2022",8:45/km
"Apr 14, 2018",8:46/km
"Oct 28, 2018",8:46/km
"May 25, 2019",8:46/km
"Dec 8, 2021",8:46/km
"Feb 16, 2022",8:46/km
"Aug 14, 2022",8:46/km
"Oct 10, 2016",8:47/km
"May 31, 2017",8:47/km
"Jan 29, 2017",8:47/km
"Apr 22, 2019",8:47/km
"Dec 12, 2020",8:47/km
"Nov 4, 2021",8:47/km
"Nov 21, 2021",8:47/km
"Jan 23, 2022",8:47/km
"May 14, 2022",8:47/km
"Jul 11, 2022",8:47/km
"Jul 10, 2022",8:47/km
"Oct 30, 2016",8:48/km
"Feb 10, 2018",8:48/km
"Jun 25, 2018",8:48/km
"Jan 26, 2019",8:48/km
"Jul 8, 2019",8:48/km
"Aug 26, 2022",8:48/km
"Oct 16, 2022",8:48/km
