date,speed
"Apr 9, 2019",5:34/km
"Apr 9, 2019",5:34/km
"Apr 30, 2020",5:34/km
"Feb 17, 2021",5:34/km
"Aug 26, 2021",5:34/km
"Apr 9, 2019",5:37/km
"Nov 27, 2018",5:37/km
"Sep 5, 2018",5:37/km
"Jun 26, 2018",5:37/km
"Jan 8, 2018",5:37/km
"Oct 24, 2016",5:37/km
"Jul 4, 2020",5:37/km
"Aug 5, 2020",5:37/km
"Oct 2, 2020",5:37/km
"Dec 12, 2020",5:37/km
"Mar 29, 2022",5:37/km
"Aug 3, 2019",5:39/km
"Apr 7, 2019",5:39/km
"Mar 29, 2019",5:39/km
"Jan 13, 2019",5:39/km
"Nov 7, 2018",5:39/km
"Mar 25, 2018",5:39/km
"Jan 28, 2016",5:39/km
"Oct 31, 2015",5:39/km
"Mar 9, 2020",5:39/km
"May 2, 2020",5:39/km
"Nov 14, 2020",5:39/km
"Dec 9, 2020",5:39/km
"Mar 20, 2022",5:39/km
"Oct 30, 2022",5:39/km
"Feb 17, 2020",5:41/km
"Jun 11, 2013",5:41/km
"Jun 8, 2020",5:41/km
"Nov 7, 2020",5:41/km
"Dec 12, 2020",5:41/km
"Jun 15, 2021",5:41/km
"Apr 14, 2022",5:41/km
"Apr 23, 2022",5:41/km
"Oct 1, 2022",5:41/km
"Mar 22, 2020",5:43/km
"Feb 25, 2020",5:43/km
"Sep 15, 2019",5:43/km
"Mar 28, 2018",5:43/km
"Jan 15, 2017",5:43/km
"Nov 3, 2020",5:43/km
"Nov 26, 2020",5:43/km
"Jan 5, 2021",5:43/km
"May 2, 2020",5:43/km
"Sep 5, 2015",5:43/km
"Feb 7, 2021",5:43/km
"Sep 15, 2021",5:43/km
"Aug 18, 2022",5:43/km
"Aug 16, 2019",5:46/km
"Oct 12, 2018",5:46/km
"Oct 20, 2018",5:46/km
"Mar 25, 2018",5:46/km
"Mar 5, 2018",5:46/km
"May 10, 2019",5:46/km
"Jul 6, 2020",5:46/km
"Nov 8, 2020",5:46/km
"Jan 4, 2021",5:46/km
"Jan 9, 2021",5:46/km
"Jan 29, 2021",5:46/km
"May 19, 2021",5:46/km
"Sep 4, 2021",5:46/km
"Mar 20, 2022",5:46/km
"Aug 7, 2022",5:46/km
"Aug 15, 2022",5:46/km
"Oct 10, 2022",5:46/km
"Apr 9, 2019",5:48/km
"Dec 8, 2018",5:48/km
"Mar 11, 2018",5:48/km
"Aug 31, 2020",5:48/km
"Oct 8, 2020",5:48/km
"Feb 7, 2021",5:48/km
"Mar 7, 2021",5:48/km
"Mar 20, 2021",5:48/km
"May 3, 2021",5:48/km
"Apr 26, 2022",5:48/km
"Aug 28, 2022",5:48/km
"Sep 10, 2022",5:48/km
"Nov 11, 2022",5:48/km
"Dec 1, 2018",5:50/km
"Nov 7, 2018",5:50/km
"Sep 6, 2018",5:50/km
"May 13, 2018",5:50/km
"Jan 17, 2018",5:50/km
"Dec 31, 2017",5:50/km
"Dec 1, 2017",5:50/km
"Jun 12, 2014",5:50/km
"Jun 7, 2020",5:50/km
"Feb 6, 2021",5:50/km
"Apr 27, 2021",5:50/km
"Apr 7, 2018",5:50/km
"Sep 6, 2021",5:50/km
"Jan 16, 2022",5:50/km
"May 1, 2022",5:50/km
"Apr 15, 2017",5:50/km
"Mar 25, 2018",5:53/km
"Oct 11, 2019",5:53/km
"May 30, 2019",5:53/km
"Dec 31, 2018",5:53/km
"Mar 25, 2018",5:53/km
"Nov 8, 2020",5:53/km
"Jul 23, 2022",5:53/km
"Apr 30, 2019",5:55/km
"Nov 7, 2018",5:55/km
"Apr 16, 2015",5:55/km
"Mar 29, 2020",5:55/km
"May 20, 2020",5:55/km
"Sep 10, 2020",5:55/km
"Sep 23, 2021",5:55/km
"Feb 11, 2022",5:55/km
"Oct 4, 2020",5:55/km
"Apr 19, 2022",5:55/km
"Aug 2, 2022",5:55/km
"Mar 1, 2020",5:57/km
"Feb 21, 2020",5:57/km
"Apr 24, 2019",5:57/km
"May 24, 2018",5:57/km
"Jun 14, 2017",5:57/km
"Mar 18, 2016",5:57/km
"Aug 28, 2013",5:57/km
"May 30, 2020",5:57/km
"Jun 17, 2020",5:57/km
"Sep 26, 2020",5:57/km
"May 22, 2021",5:57/km
"Sep 19, 2021",5:57/km
"Feb 17, 2020",5:59/km
"Dec 12, 2019",5:59/km
"May 12, 2019",5:59/km
"Mar 10, 2019",5:59/km
"Mar 11, 2018",5:59/km
"Oct 10, 2016",5:59/km
"May 11, 2021",5:59/km
"Feb 27, 2022",5:59/km
"Apr 5, 2022",5:59/km
"Apr 10, 2022",5:59/km
"May 10, 2022",5:59/km
"Jan 25, 2020",6:02/km
"Jun 8, 2019",6:02/km
"Mar 8, 2019",6:02/km
"Jun 6, 2018",6:02/km
